"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","688","Создание заказа: варианты цвета возвращают track","tests","2026-05-06","passed","2026-05-06","TestOrdersCreate","test_orders_create","",""
"","12590","Получение списка заказов: тело ответа содержит список orders","tests","2026-05-06","passed","2026-05-06","TestOrdersList","test_orders_list","",""
"","690","Если логиниться несуществующим пользователем: 404","tests","2026-05-06","passed","2026-05-06","TestCourierLogin","test_courier_login","",""
"","1255","Нельзя создать двух одинаковых курьеров: 409 и ошибка","tests","2026-05-06","passed","2026-05-06","TestCourierCreate","test_courier_create","",""
"","783","Курьер может авторизоваться: 200 и id","tests","2026-05-06","passed","2026-05-06","TestCourierLogin","test_courier_login","",""
"","1288","Курьера можно создать: 201 и ok=true","tests","2026-05-06","passed","2026-05-06","TestCourierCreate","test_courier_create","",""
"","630","Ошибка при неверном логине/пароле: 404","tests","2026-05-06","passed","2026-05-06","TestCourierLogin","test_courier_login","",""
"","1044","Создание курьера требует обязательные поля login и password: иначе 400","tests","2026-05-06","passed","2026-05-06","TestCourierCreate","test_courier_create","",""
"","914","Создание заказа: варианты цвета возвращают track","tests","2026-05-06","passed","2026-05-06","TestOrdersCreate","test_orders_create","",""
"","746","Создание курьера требует обязательные поля login и password: иначе 400","tests","2026-05-06","passed","2026-05-06","TestCourierCreate","test_courier_create","",""
"","48780","Для логина нужны обязательные поля: иначе 400","tests","2026-05-06","skipped","2026-05-06","TestCourierLogin","test_courier_login","",""
"","48261","Для логина нужны обязательные поля: иначе 400","tests","2026-05-06","skipped","2026-05-06","TestCourierLogin","test_courier_login","",""
"","822","Создание заказа: варианты цвета возвращают track","tests","2026-05-06","passed","2026-05-06","TestOrdersCreate","test_orders_create","",""
"","702","Для логина нужны обязательные поля: иначе 400","tests","2026-05-06","passed","2026-05-06","TestCourierLogin","test_courier_login","",""
"","696","Создание заказа: варианты цвета возвращают track","tests","2026-05-06","passed","2026-05-06","TestOrdersCreate","test_orders_create","",""
